Gender,Income
Male,7000.0
Male,14400.0
Female,2215.0
Female,15583.0
Female,8041.0
Female,10833.0
Male,17280.0
Male,2710.0
Female,4390.0
Female,7750.0
Female,10380.0
Female,3140.0
Male,4900.0
Female,3000.0
Male,7300.0
Male,5541.0
Male,6594.0
Male,5994.0
Male,7420.0
Male,4355.0
Male,2500.0
Male,3250.0
Female,6000.0
Male,3600.0
Male,4000.0
Female,6161.0
Male,7200.0
Female,3875.0
Male,9300.0
Female,1500.0
Male,7500.0
Female,5047.0
Male,6833.0
Female,15082.0
Male,10400.0
Female,2964.0
Female,3583.0
Female,7300.0
Female,12600.0
Female,3175.0
Female,2916.0
Female,6800.0
Male,34600.0
Male,13334.0
Male,4941.0
Female,73200.0
Female,1600.0
Female,6000.0
Male,7200.0
Male,6916.0
Female,13000.0
Male,3700.0
Male,4166.0
Female,7275.0
Male,6000.0
Female,3000.0
Male,2750.0
Female,1800.0
Female,5463.0
Male,10000.0
Female,11000.0
Male,8052.0
Female,7141.0
Female,12500.0
Male,10252.0
Female,4975.0
Female,1400.0
Female,5796.0
Male,4992.0
Male,10960.0
Female,3040.0
Male,5682.0
Male,15433.0
Female,10133.0
Male,3166.0
Female,5833.0
Male,11667.0
Male,5833.0
Female,15933.0
Male,5210.0
Male,11370.0
Female,500.0
Female,4307.0
Male,2000.0
Male,5534.0
Male,5251.0
Female,1800.0
Female,5200.0
Male,16894.0
Male,14500.0
Male,8544.0
Male,13351.0
Female,2500.0
Female,10970.0
Female,8836.0
Male,5000.0
Female,9773.0
Female,13788.0
Female,3968.0
Male,4500.0
Female,5000.0
Female,10750.0
Male,5700.0
Female,4000.0
Male,13750.0
Female,10118.0
Female,20833.0
Male,3000.0
Female,3000.0
Male,5700.0
Male,3666.0
Female,5615.0
Female,3607.0
Male,7200.0
Female,10000.0
Female,7050.0
Female,3000.0
Female,15000.0
Male,3839.0
Female,2907.0
Male,5500.0
Female,2557.0
Male,15366.0
Male,3180.0
Female,15000.0
Male,4743.0
Female,3700.0
Male,10542.0
Female,8166.0
Female,7000.0
Female,3944.0
Male,11617.0
Male,17500.0
Female,8400.0
